texts,labels
"@HalfTangible ""-All that awaits you after death is the void"" ❌ not believing in an afterlife is not part of atheism.  there are atheists that believe in many things including the supernatural.  You maybe referring to a subset of atheists that are religous skeptics who reject most of...</s>@Thedukeistheman According to atheistic worldview: -All that awaits you after death is the void -The universe exists for no reason -Morality has no true basis beyond what humans agree to (shockingly little and we're REALLY bad at keeping to them) -Religion must be fought at every turn",pos
"@JEFSpeaks @EricRWeinstein There is no specific line, and that of course, is the problem. People interpret things differently based on their values, experiences, and disposition. So who is the decider?</s>@AmberFaire1 @EricRWeinstein Speech is limited when it is life-threatening. This isn't an issue of giving a fair hearing to a point of view. It's an issue of differentiating between criticism and the familiar pattern of generalization, dehumanization, oppression, then extermination.   https://t.co/TMB3IHWcD8",neg
"@BlanketyQuiz @a_gabriel_lucas @johannhari101 (4/4) Hence, beings that actually question the merits of survival, and especially those who conclude that suicide is a better choice then survival, are dubbed as defective (i.e. mentally ill) units.</s>@BlanketyQuiz @a_gabriel_lucas @johannhari101 (3/4) Science places people on the same level: expecting them to survive just because that's what the cold, hard laws of science dictates that their machinery is supposed to do. Because that's the way the darwinistic process manufactured us.",neg
"@Siinrajiaal @pseuderman @DanPriceSeattle exactly, due to it taking only a few people to service a massive number of these robots, these robots that require college to get a job to service, a job that is going to be harder to get when you have to somehow compete with a robot that can make a dish perfectly every time</s>@pseuderman @DanPriceSeattle Theyre people up. But the numbrr of jobs decreases as jobs change. Only takes one guy to dig a ditch. #WeNeedUBI",neg
"@Steve_in_B_A @SethAbramson This bears analysis. Nixon wasn't indicted due to a DOJ policy which disfavors it. But it's not the law. This would be a test case, likely all the way to the US Supreme Court. Our national security is at risk. We have no choice.</s>@SethAbramson It all comes down to can a sitting President be indicted, if not our founding fathers failed.",neg
"@CharlesPPierce Numbers are numbers. They didn’t suppress 43,000 Clinton votes. If Democrats - Especially young people and African Americans - had shown up in anything like 2012 numbers, we wouldn’t be having this conversation.</s>@RadioFreeTom @joero3 @apearlma @bruce_arthur @DoktorZoom @jentaub Will you please put your privilege aside for a minute? Nobody should HAVE to overcome artificial barriers, at least since 1965, anyway. This is the equivalent of the “I never owned slaves” argument against affirmative action.",neg
"@PeterWSJ Trump is pure hate.</s>Aides came to Pres Trump last summer with an idea: run to Arizona to check John McCain, who had just been diagnosed… included://t.co/DriGs17dIE",pos
"@MartynLloydIles We are loosing all our democracy to object  about subjective behaviour and bad behaviour due to Gender law and human democracy law to do with Gender impression.  We must not vote made for Labor  this coming federal election to keep this garbage out of parliament out of societies why.</s>Criticising anyone for their boisterous, overbearing behaviour, or punishing them in the advocacy, or any other detriment could be hate speech and discrimination under new TAS law if they identified as aethergender. It's just protected ""gender impression""... #onlyintasmania",pos
"@DrPanMD Classless? Callous? Arrogant? Idk. Just know long and hard on these words, Pan.  https://t.co/7IK5eIZh1C</s>@RobSchneider @GavinNewsom Catie has my sympathy for the loss of her daughter Evee. Blaming her death on vaccination requires evidence. VAERS number? #VaccinesWork #IVax2Protect  https://t.co/FzjUvSl40d",pos
"@PMc276 I’ve no clue. It doesn’t affect their lives at all. Live and let live. And trust people to live their best, true lives. It’s quite simple.</s>@ShaneBeattyNews I have trans friends. Their being trans doesn’t affect my life whatsoever bar I appreciate how much happier they are now. I find it hard to comprehend hating people you don’t know. Why?",neg
"@HalfTangible …the denies made by atheistic religions.  “-The universe exists for no reason” ❌  this is not a claim or belief of atheism so i’m going to continue this critique as if you are claiming religious cynics carry a heavy burden.  I’ve never heard anyone claim the universe...</s>@HalfTangible ""-All that awaiting you after death is the void"" ❌ not believing in an overkill is not story of atheism.  there are atheists that believe in many thing including the supernatural.  You maybe referring to a subset of atheists that are religous cynics who reject most of...",pos
@Reuters Whoever supports confederate statues is a racist.</s>Seven arrested at Confederate statue protest in North Carolina https://t.co/Xj09qIsVib https://t.co/qOl9vqloY6,pos
"@gracelover712 @truth_momma We haven't heard.. no shock but can you share some info so we can pass it on</s>Thank God for the Wisconsin high school resource officer who saved lives today when he shot an armed student.   Of course, the gun control cult will find a way to attack this hero, and show us again that they don’t care about our kids, they only care about their agenda.",neg
"@GlobalBC I can see a counter suit be launched against the BC Municipalities for building roads and bridges to foster the growth of their cities and the taxes they charged for doing so. The fossil fuel companies didn't force you into building them.</s>If the motion is approved, Vancouver could become the most high-profile B.C. municipality calling for fossil fuel companies to cover climate change-related costs  https://t.co/UZ4oUcexBz",pos
"@XTrillian @RealEddie401 You wanna tell me Josef Mengle was not a monster?</s>FFS #ImwithAlyssa  MAGA is synonymous to bigotry &amp; hate violence. They are young terrorists, cheered on by Boomer &amp; GenX bitter Bruhs &amp; Betty's.  They are America's Hitler Youth. They are terrorists &amp; facist.  I don't use words lightly.  #CovingtonCatholic #ExposeChistianSchools",neg
@Tanishaevonne That’s terrifying to watch but I’m glad you had it recorded too!! Keep me updated on what happens with those fuckin 🐷</s>A Pennsylvania State Police officer in Washington County decided to choke and slam my sister while she was restrained in a cop car.  Please share.   #BlackLivesMatter #Blacktwitter @TheRoot @shaunking  https://t.co/lPndJUoWVD,neg
@HuffPost You really posted this B.S? Gtfo of here.</s>Also: Women peak in desirability at age 18. Men peak at 50. https://t.co/hlhV2AlFW6,pos
@rockhoppre @ABC It’s a petty and disgraceful thing to do and it takes a disgraceful coward like Trump to do it.</s>@ABC So what,pos
@SkyNewsAust @kimbakit What a wasted of oxygen this woman is.</s>.@kimbakit on the Bourke Street attack: Labor senator Anne Ali is right. Education is necessary when it comes to co… included://t.co/IIh4M5oK9W,pos
@nytimes Yeah but @nytimes hires racist people too!</s>NPR is criticized after white nationalist ranks the races by intelligence on air https://t.co/F6Znj4FXGp,pos
@CapehartJ One can only hope he chokes on a cheeseburger in a fit of anger</s>GOOD LORD. WOW ---&gt; SCOOP: Trump Rejects “War Council” Intervention and Goes It Alone https://t.co/8tnaA9X6Uu,pos
@TheSun Whheyyy... Heeyyyy..... Good job.... Kill him next time..... Please....</s>Leader of UK's worst grooming gang left scarred for life after jail attack https://t.co/YP89z2zvO0 https://t.co/Q5ARGSszU0,pos
"@yHMmdvoLWsgEtZ3 @sjw @jaketapper @UNC Zero followers, ahdvjgg;&kc;$66.

You
Are
A
Bot!</s>@sjw @jaketapper @UNC They are not just vandals they are anarchist and fascists who do not believe that the… https://t.co/jboD0WQFgT",pos
"@Horned_OwlJA It has long been ok to blame Obama.  Look at Hillary's book.</s>@NekNamirrem So, is it now OK to sayy, for example, that Obama's indifference is at least (if not more) harmful than ""Russian hacking?""",neg
"@NickRiemer1 @HPluckrose By pretending power &amp; privilege were primarily functions of color &amp; gender, I think it's YOU who's undermining the left, Nick. Rich privilege quite obviously beats all other privileges your camp has come up with, so far. Quit obfuscating, please.</s>@HPluckrose You choose the headline 'Why I no longer identify as a feminist' to criticise *certain kinds* of feminism. You argue against 'reparative justice' &amp; 'an understanding of society as formed of systems of power &amp; privilege'. And you still argue that you're don't undermine the Left?",neg
"@drjanaway In the case of abortion, I have actually become less prochoice and think there needs to be many restrictions on 2nd and 3rd trimesters b/c of the ultra sounds that show how development a fetus is in the 2nd trimester.</s>@Geoelte_Spinne Vaccination is a safe choice.",neg
"@FieldsofAthnry I feel bad for bringing it up, at any rate.</s>Had a student tell me today that the best argument against affirmative action that he could think of was that ""discrimination is a natural part of life.""",neg
"@Chumb0h @NYCMayor No, because the boss didn't want to pay full time for his employees at 15/hr. So ppl became part-time.</s>@Cats_Request @NYCMayor Because you’re an unskilled worker",pos
@cage_paul @Eiggam5955 @FoxNews @POTUS Very racist statement</s>@raysready1 @Eiggam5955 @FoxNews @POTUS Just as “disrespectful” as the orange ape in the White House.,pos
@Jdf00007 @jdawsey1 @HGTomato Get a life Jerry. It’s not good to hate.</s>@jdawsey1 @HGTomato I hope I can live long enough to see Trump take his last breath. I have never hated nor despise… https://t.co/Hdvy90PiNk,pos
"@KendallWade4 @BLM757 What I'm saying is that the second an officer tells you to stop yelling and/or attempts to detain you, it doesn't matter whether you are 100% right or black/white/yellow/or blue. You comply with the officer and you tell them how wrong they were at the station.</s>@Privilegedkin @BLM757 Are you joking? Are you saying what they did to her was ok? There is no circumstance in which that is ok. She was stressed because she just got a gun pulled on her and your telling her to calm down? She had to call her kids and tell them she was ok",pos
"@AP Voter ID? Racist Indians</s>""We are genuine Indians. We are not foreigners."" Nearly 4 million people must prove their nationality as the politi… https://t.co/mbYoq39Oyf",pos
"@mana_kailani His involvement is disgraceful just a media attention turd</s>Typical. This belligerent entitled male, allegedly molests women’s bodies without their consent, votes against girls getting cervical cancer vaccination, cheats on his wife, roots his staffer &amp; now wants women to have no choice but to be breeding vessels #auspol  https://t.co/YzGAjTC0L6",neg
"@AztecEmpire1520 3. I firmly believe that there are elements of truth to myth, those truths simply haven’t been fully revealed and/or connected to reality… 4. My work is a work of fiction, btw, try not to take it too seriously. Peace!</s>@AztecEmpire1520 2. 4decades, scholars held belief that Nat Ams were only ones in the Am's, that no Europeans touched any of it. W/new technology came new evidence, like new discovered Mayan city via Google earth. Not going 2 close myself off 2 the idea that earlier white Euros wereneverinMx...",neg
"@Peaches_Sabrina @FrancaRose33 Quick question: Are you dumb or legally a moron?</s>@eshap @FrancaRose33 Quick question, which do government(s) fear, an armed populace that can stand up against them, or one that can drive and own a dog.",pos
@NBCNews LMFOAOAOA I hope her husband dies soon for her sake</s>RT @jo_medez: @ederic @MaywardZel @julieann_faney @Vivo_Phil @maymayentrata07 @Barber_Edward_ @MayWardOfficial @MMtrendsetter @mwtrendsette…,pos
"@ABC @jonkarl @realDonaldTrump is a democracy kill yourself claimed molester in vp</s>""Why won't you say something about John McCain?""

@jonkarl asked Pres. Trump ten times today to comment on Senator J… included://t.co/pksJFQhiVg",pos
@peters_sheri I feel like you read my tweets and took away what you wanted to take away from the tweets without actually understanding where I'm coming from. Please take care during this difficult time. ✌</s>@SarkyVegan You are pretty judgmental aren’t you? I read your tweets and feel like you  made up all the rules &amp;  if they aren’t followed then you aren’t a pure vegan.. ....just saying..... you might want to stop being so black / white and remember there’s always shades of color in the middle,neg
"@Liz_Perrine Oh man that's terrifying! Hope she's doing better now though.</s>Had a real scare last night; my beloved tortoiseshell kitty had a severe reaction to her rabies vaccination; she spent the whole night vomiting, pooping, and hiding.   She's much better today, but both of us are exhausted. Nap time.",neg
"@dailykos well that oughta tank the seafood industry in MD &amp; VA.</s>Trump's latest attack on immigration will suspend H-1B, other work visas until end of year  https://t.co/SjO9PRrCzA",neg
@hodgetwins Bernie is worth over 2.5 million dollars</s>#BernieSanders begins 2020 campaign in Brooklyn with false promises of at least $15 minimum wage and affordable childcare 😂😂#BernieInBrooklyn #BernieSanders2020 #Trump2020 #MAGA  https://t.co/OOyrviNU4O,neg
@calif @Mandari25733571 None of them both are shameless</s>Who has less integrity -- Omarosa or her Trumpworld critics? included://t.co/IkMbKnhiSq,pos
@PsychologyDoc She sounds drunk 🤣🤣🤣  https://t.co/x9fNtYV8VE</s>The employee was later fired for her hate speech  https://t.co/xrVtdZ347f,neg
"@Grateful42069 Yes.   Or, for example, The Green New Deal.   Instead of challenging points, some politicians turn it into a joke and sell talking points. The rule up their own base with rhetoric instead of addressing the actual issues.</s>@DadWearsGlasses okay. I don’t like the idea of somebody pushing corporate interests directly to government officials. Isn’t that a gateway to crony capitalism?",neg
@cupcake_days @marwilliamson Exactly. She offers the most comprehensive plan by far. Nothing else even comes close.   There is an unrivaled power in the solutions Marianne is offering.   #WeThePeople want President Williamson for #POTUS46.   #BigTruth</s>@marwilliamson Your #WholeHealthPlan is the best plan to create a healthier America. #Marianne2020  https://t.co/UGLezKob51,neg
"@BlanketyQuiz @a_gabriel_lucas @johannhari101 It deflects all questions of: ""Why the hell should I stay alive?"" with it's deaf assertion: ""The important thing is that you stay alive.""  Because the soul doesn't exist. There's just a sack of organs. And the only thing that matters is keeping them all running.</s>@BlanketyQuiz @a_gabriel_lucas @johannhari101 My experience is that they do.  Science/Darwinism expects/demands people to pursue survival, even when there is no significant reason to do so; under threat of defamation as ""mentally ill"" if they dare question this principal.",neg
"@Justinlovesspo1 @Grace516G @SenSanders You lose the big benefits of removing networks and reducing costs. This is one of the big criticisms of the ACA was that it didn’t lower costs</s>@Shawn33710150 @Grace516G @SenSanders The only real difference is not everyone can get coverage , that's a big deal that should be fixed, other than that we get all the same benefits and more .  there are  many benefits to the private run system, but universal is inevitable hopefully we don't screw it up",neg
"@DPrabhata @Rick32008636 @GavinNewsom Perfect...an illegal responds. #BuildTheWall</s>@Rick32008636 @GavinNewsom Good bye, vaya con Dios, ciao, au revoir...",pos
"@SheilaGunnReid Can I shamelessly plug a Canadian charity my friend is involved in?  https://t.co/tXKFTJmU4w  They shut down dog meat factories in Korea and rehabilitate the dogs for adoption.</s>I'm by no means an animal rights activist. And I would never begrudge a starving man a meal of desperation.   But McKenna is a privileged woman from the Western World who sought out animal suffering and a taboo dinner of dog just because when in Rome, I guess.  It's gross.",neg
"@RagnarFHGalt My sources can be fact checked positively.  A lot of yours can't.</s>@DigiDev808 As if cheating on Affirmative Action isn't enough, She says she's NOT a Millionaire, She's worth $10 million  She made a political ad claiming she refused money from the NRA Just one problem, The NRA never offered her money.  She has no problem with abortion on a baby's due date.",neg
@danwootton @TheSun You’d do anything to filling notes you scum</s>Very shocking story about Liam Gallagher’s behaviour towards his girlfriend Debbie tomorrow in @TheSun. I hopefully she… https://t.co/OP3z9kGXua,pos
@washingtonpost Racist trump</s>Don Lemon: Trump told me I couldn’t be a fair reporter because I’m black https://t.co/IIAI9X8PV4,pos
@rowan @IngrahamAngle She’s actually jealous that she didn’t write it last. She’s vile</s>Fox News host @ingrahamangle shared an anti-immigrant tweet by a British neo-Nazi close to David Duke  https://t.co/OJcyshKArg,pos
@BuckAngel I’ve seen that word around but never knew what it means... What’s a truscum?</s>Use of the term Truscum is TRANSPHOBIC HATE SPEECH! You fucking idiots😡😡😡,neg
@justin_herren Hmmm. I wouldn’t classify the things mentioned as faith based.  But lets assume they are. Which one wins when your faith is disproven by science?</s>@iamharaldur This seems a bit of a broad stroke. Science and faith can coexist.,neg
@jnum1son @stevefitzlake @IngrahamAngle @ABC God I can’t stand these ignorant racist people.</s>@stevefitzlake @IngrahamAngle @ABC #magaTards https://t.co/X56XQGdUGd,pos
"@SarkyVegan You are pretty judgmental aren’t you? I read your tweets and feel like you  made up all the rules &amp;  if they aren’t followed then you aren’t a pure vegan.. ....just saying..... you might want to stop being so black / white and remember there’s always shades of color in the middle</s>A Health ""Vegan"" an Environmental ""Vegan"" and a Animal rights Vegan all have the same impact on animals. However, a health ""Vegan"" like Liam Hemsworth or an environmental ""vegan"" like George Monbiot are evidence enough why they're not vegans.",neg
@Kirk_925 He didn't give one reason or one policy----at least in this clip----as to why he hates Trump.  Did anyone check to see if his name is on the Epstein plane records?</s>This is true hate speech👇   https://t.co/xTt8Gpkkvd,neg
@nytimes Yeah but @nytimes hires racist people too!</s>NPR is criticized after white nationalist ranks the races by intelligence on air https://t.co/F6Znj4FXGp,pos
"@WestonGoldberg @JoeNBC @MSNBC They're better humanity beings than racist Republican. Also I don't think you know what… https://t.co/dBJ3VwRWZ9</s>@JoeNBC @MSNBC By the way Joe,  I guess if you ask a establishment a important, a good chance your going to get a establishment wrong!… https://t.co/e1K2vfmICL",pos
"@danieldennett lmao. You gotta love Dennett giving statistics that contradict his own previous claims about BILLIONS of atheists having to keep their position a secret due to religious oppression.</s>Well many studies show that about 30% of people are basically unmoved by, uninterested in religion. They are not EVEN atheists. It just doesn’t matter to them.",neg
"@sol15g @ACLU The racism in Chicago is so deep that we can keep talking about it for ages man. The destruction that these white supremacists done in Chicago is sick. I'm a centrist and respect cops too, but I feel like Van Dyke shouldn't be the only one getting jail time. #LockUpRahm</s>@SamEsco13 @ACLU Jason Van Dyke unloaded 16 shots in McDonald and tried to unload another full clip in him after he was dead on the ground, but his partner stopped him. Where I am from that is some sort of mental illness and someone like that is a danger to society.",neg
"@NRA In 1785 self defense was a single shot, take two minutes to reload, weapon. You can have all of those you want. Keep them. Framers of the Constitution had no concept of weapons that exist today- 240 years later. You know that but choose to conflate and ignore it.</s>Bloomberg wants gun registration and every oppressive/failed gun control scheme ever conceived.   This hypocritical billionaire, with 24/7 armed guards, doesn’t believe self-defense is a fundamental human right or that gun ownership is a right as determined by the Supreme Court.  https://t.co/vOd3umd4Xw",pos
"@WalkerBragman I wouldn't exactly call this crew of Democrats courageous, with very few exceptions. It would be refreshing to see that quality.</s>.@AOC did it with the Green New Deal. @BernieSanders did it with Medicare-for-all, tuition-free college, $15 minimum wage, and disavowing corporate money. He, @ChrisMurphyCT, and @RoKhanna did it with Yemen. @IlhanMN did it with criticizing Israel and AIPAC.  We need more of this",neg
"@theleighmilne I didn’t say I hate anyone</s>@denverbitcoin Why does/should anyone care what religion he is?! That's the most disgusting thing to judge someone on. I'm disgusted by the Catholic church covering up and excusing paedophilia, but it doesn't mean I hate Catholics I",neg
"@scottsantens I agree, but Yang’s UBI hurts the poorest people in the country. Why make them choose between UBI or social safety net?</s>With Abhijit Banerjee's win of the Nobel in Economics today, the number of Nobel Prize winners in support of universal basic income just increased again. Banerjee is even working with @Give_Directly on their ongoing huge UBI experiment in Kenya. #YangGang   https://t.co/yO7iz60quA",neg
"@advances__ @existentialcoms It will always be a game in the sense of being a set of abstractions whose interactions are governed by rules. Socialism, mercantilism, communism and such are just different kinds of games.</s>@IdiotTracker @existentialcoms A game where people’s lives and wellbeing pay the price. Should an economic system have any business being a game tho?",neg
@EStoolio @TIME @DrewMikePodcast Oh wait you are clearly a bot nevermind</s>@TIME @DrewMikePodcast Honestly...the childish behavior exhibited by these left wing folks is astounding... can't w… https://t.co/coanROjKGF,pos
@Zadley91 @IgnatPete @scottsantens Need to look beyond the money and peek into the 2nd order impacts of what Yang's Freedom Dividend would do for a community. UBI needs to come first. Recommend you look at the Mincome study and Namibia BIG project.</s>@IgnatPete @scottsantens Maybe instead of a UBI we could first fight for a 30 hour work week.,neg
@WriterJohnBuck @danieldennett Copy me the link to support your claim please.</s>@danieldennett lmao. You gotta love Dennett giving statistics that contradict his own previous claims about BILLIONS of atheists having to keep their position a secret due to religious oppression.,neg
@Teelou40 @monetroshi @Behembaba There was retaliation against the destruction of Black Wall Street and Rosewood??....what about all those LYNCHINGS??...the Devil's Punchbowl in Mississipi??....I haven't heard of any...been too peaceful with these MUTHAFUKKAS!..</s>@VenusBaptiste @monetroshi @Behembaba We have retaliated. Historical accounts are your friends.,neg
"@aparnapkin Y would we ban immigrants???</s>To recap:  THINGS WE CAN BAN  -Vaping -Immigrants -uncivil remarks as decided by arbitrary, unaffected sources  THINGS WE CAN'T BAN  -actual instruments of mass death and assault -hate speech later cited in hate crimes -a pathological sexual predator masquerading as president",neg
"@anneapplebaum @wildhyperbole @jeremycorbyn #Corbyn is a clueless idiot - how can one else explain his #Brexit supp… https://t.co/qeH1WIpNjT</s>Hey @jeremycorbyn! The imposition of Soviet communism on Eastern Europe started in 1944, well before the Cold War;… https://t.co/Qi7JKiLMdV",pos
"@thehill He’s correct</s>President Trump on Green New Deal: ""It'll crush the dreams of the poorest Americans and disproportionately harm minority communities.""  https://t.co/13INXZorGn",neg
"@CNNPolitics She says they r not going to shoot the caravan right now..MAYBE LATER..I HOPE EVERY TIME U GO OUT TO E… https://t.co/Ox2xClXgVc</s>Homeland Security Secretary Kirstjen Nielsen says that ""we do not have any intention right now to shoot at"" the mig… https://t.co/a7bhdcQYa2",pos
"@CBSNews @LindseyGrahamSC Then do the right time ever like Senator McCain don’t supporting shady lying racist unqualified trump!</s>Sen. Lindsey Graham says President Trumpis stand on John McCain ""pisses me off to no end"" included://t.co/I8ev1mAxWB included://t.co/OfA0hrBlX4",pos
@benshapiro all good. If you rape a child Meryl Streep will give u and standing ovation but conservative noooo</s>He just had to be exiled for a decade and every movie he makes now has to be a national controversy. No problem.  https://t.co/V88FGL8Bpr,pos
"@ABC Trump is stupid!</s>NEW: Upon reaching an ""understanding"" with Mexico on trade, Pres. Trump says he will be ""terminating"" NAFTA and ""go… https://t.co/F0ZeRaf9W9",pos
"@briebriejoy And not just reparative goals, but educational ones.  Trying to make sure that there are African-American students in, for example, a U.S. History class serves an educational purpose for all students.</s>This makes good points but can we not refer to every non-academic advantage as ""Affirmative Action?"" It only serves to stigmatize a program which, while flawed, has ethically defensible reparative goals...unlike sailing scholarships for rich kids.  https://t.co/R9auYUq1mu",neg
"@ReichlinMelnick Don’t worry, Aaron. ICE is still detaining 38,000 people and proceeding with deportations whenever possible. All is not lost!</s>CBP suspended enforcing the UN Protocol on Refugees and all normal immigration laws.  The EPA suspended enforcing the Environmental Protection Act.  The DOL suspended enforcing equal opportunity rules.  The administration is using the pandemic to do what they’ve wanted for years.",neg
@NBCNews Burn in hell Taylor.</s>A 19-year-old man has been charged with kicking a cat like a ball on a Kansas City high school football field in an… https://t.co/uFSAQ4hrxi,pos
"@jilevin Let's GO Twitter!! You've suspended many of us for cussing and stating our opinions, #freeredraccoon. This man has a pinned tweet that could possibly get an amazing congressional freshman killed! How is that okay????</s>Twitter Urged to Suspend Donald Trump After President Accused of 'Sharing Propaganda Videos Trafficking in Hate Speech' Over Omar Attack  https://t.co/O4emBxpOdJ",neg
"@BearsGrl80 Why does it have to be a color issue. Why can’t it be a right vs wrong issue?  Threatening anyone’s life over a simple shoplifting issue is just ridiculous.</s>If this shit is ok with you, unfollow me.   I don't wanna hear nothing about how you think anything of this is justified. #BlackLivesMatter",neg
"@osullivanauthor @_papaboy They’re not trying to protect the rich. They’re trying to protect themselves. The rich have duped them into thinking it’s the same thing.</s>Liberals are far from perfect, but generally we do things from a place of love: - healthcare - better wages - equal footing for minorities, women - gun control - acceptance of others  Conservatives, on the other hand, often start from a place of exclusion and protecting the rich.",neg
@guardian Racist article.</s>Chinese leaders warns fresh push against 'separatist elements' in Tibet https://t.co/trw6XEChc9,pos
"@cnnbrk Can We Execute her ? We can stand her up in front or a Firing Squad like Mata Hari?</s>A Russian national is charged with conspiracy to interfere in US politics, including the 2018 midterms, through a s… https://t.co/0t7gyjuzdH",pos
"@ebugos The socialist agenda is being pushed hard in Australia and NZ. Even with a supposed ""right wing prime"" minister Australia is moving more socialist.  The Overton window is moving further and further to the left</s>It is no longer in the interests of the American establishment to promote capitalism at home or abroad, especially abroad.",neg
@skysportsnews Hate mongering</s>Opinion: Trump’s rally rhetoric is going to got somebody killed https://t.co/tws7xkCFIA,pos
"@samcunningham @premierleague @ManUtdWomen @theipaper FAKE NEWS</s>Manchester United’s official account tweeted 34 times on Sunday about the Brighton game, retweeted several stranger… https://t.co/QEXUnsA00C",pos
"@sarahcpr @realDonaldTrump That's his reaction after one of Donald Trump's patented handshakes, the kind where he pulls your hand violently.</s>@ImAnReporter our tax dollars are paying for him to go to florida every weekend &amp; promote his businesses. i guess u don't care",neg
"@KaitMarieox Ummm I'm Canadian🇨🇦 and we're a socialist country not communist. If unsure please direct all questions to our DEMOCRATICALLY ELECTED Prime Minister (not dictator) @JustinTrudeau Long live FREE healthcare! #OhCanada🍁</s>Remember when evil capitalism killed over 100 million people in the 20th Century in the Soviet Union, China, Cambodia, etc? ..Oh wait that was socialism. 🐸🍵",neg
"@Elizabeth_Cook I don't think this is about cancel culture. I'm hoping that he would have been let go for the horrendously poor decision Gibson made, no matter what else is going on.</s>I’m very sad about every bit of this. I hope someday cancel culture and hate culture give way to one compassion culture.  “Fighting for peace is like screaming for quiet” - Todd Snider.",neg
@AriMelber Why give time to a white supremacist? I passed on his hate and shame on @MSNBC for allowing him to share more hate.</s>The full interview: https://t.co/dmweLAunQE,pos
"@KayBurley Hope you’re still hiding #hunted</s>Two photos ours by 30 years and thousands of hour of TV broadcast 

#lifeatsky https://t.co/gpz2T3S89f",pos
@Iatinsimone mass incarceration isnt a thing apparently</s>“capitalism isnt slavery” hmmmm ya sure about that buddy? like are you rreeeaaallly sure?,neg
"@Starlight_Bliss Oh Jen I'm so sorry. xxx</s>Had taken in a stray tom cat about a month ago, he was due neutering soon after his second vaccination. Just had to take him to the emergency vets as he collapsed. Huge abdominal tumours. Poor boy had to be put to sleep. RIP Scott, you had a good last few weeks at least 😢",neg
@RealMikeWilbon @descent Hell fucken nah. Sick of this bias.</s>Nice job by SportsCenter; my dear producers put Cubs walk off Grand Slam at No. 9 of Top Ten plays. If same ending… https://t.co/N2R6Jzmgfe,pos
"@RT_com @Robert_Bridge Kanye is a runaway slave,  democrats hate runaway slaves.</s>Há algo que você estava tentando fazer há muito tempo, mas está adiando? Por que você ainda não o fez? — agora, n sei https://t.co/CpJRDkoij8",pos
"@GuyHeveldt That's a disgrace. These are sporting events, not political protests.</s>The Black Caps and West Indies will take a knee in support of Black Lives Matter before every match of the T20 series.",neg
"@Lederrick_ $1000 to an addict every month would just enable them etc..</s>@Lederrick_ Imagine the lazy people who won’t work though.. I agree though. It shouldn’t be $1000 cash, but $1000 directly going towards bills like food, rent, gas... so that you can afford to actually live life without as much stress.",neg
"@StandUpToDonald @kevdwill @LethalEducated @SteveWestly No, a low minimum wage translates to a flexible labor market. You can start as many businesses as you want and steal all the best employees with your high wages. Put your money where your big mouth is.</s>@LethalEducated @SteveWestly The point is that minimum wage has not moved much in 20+ years. It hasn't kept pace with inflation. Minimum wage had more buying power back then.",neg
@PhilHayYEP Fuck sake Phil</s>Jamie Shackleton now in the line-up. No Liam Cooper. Luke Ayling with the armband. #lufc,pos
"@Lorrayneporto3 Love u tchuca</s>7 meses aturando Natalia e Andreza kkkk, eu amo vocês 💙",pos
"@criprights @SenatorWong Thank you, Sam. That's something.</s>@SenatorWong To all those still reeling, take heart from this thought - he could have been our PM, and is not.",neg
"@BernieSanders Bernie, the idea that trace CO2 can cost people ""their homes, jobs and lives"" is deeply insane, as is the idea that left-wing politicians know how to prevent bad weather.</s>There is no middle ground in terms of dealing with climate change. This is about millions of people losing their homes, jobs and lives. We need a Green New Deal.",neg
@ImAnReporter our tax dollars are paying for him to go to florida every weekend &amp; promote his businesses. i guess u don't care</s>@sarahcpr ........He's hosting the most important leader in the Asian Pacific? You seem disheveled about the wrong things.,neg
"@MSNBC At the root of his nomination is social preference for social gain. His admin is disqualifying. He cannot be confirmed.</s>A clip shows President Trump's Supreme Court nominee, Brett Kavanaugh, discussing Antonin Scalia's opposition to ma… included://t.co/4UgSN9kTbY",pos
"@PRIMONUTMEG @blondebonnie94 They should. At least to some extent.  But this is why Republicans keep winning and eroding minorities (and majorities) rights.  They’ll vote against any liberal, no matter how centrist.  So many on the left say “I’ll vote third party if my candidate doesn’t win”</s>@MikeyBishopII @blondebonnie94 Could it be that Dem candidates CAN’T stand for objectively good policies, because those policies are at odds with the interests of their corporate overlords?",neg
